rule_id,status,firm,program,rule,approved_wording,official_source_url,checked_on,review_by,scope_and_limitation
PFR-001,Verified,FTMO,2-Step,Profit Target,"FTMO lists a 10% profit target for the Challenge and 5% for Verification.",https://ftmo.com/en/trading-objectives/,2026-09-19,2026-10-03,"Applies to the 2-Step evaluation shown on the checked page; confirm account type and current terms before publication."
PFR-002,Verified,FTMO,2-Step,Maximum Daily Loss,"FTMO lists a 5% Maximum Daily Loss amount based on initial simulated capital; equity includes open P/L, swaps, and commissions and the limit is recalculated at 00:00 CE(S)T.",https://ftmo.com/en/trading-objectives/,2026-09-19,2026-10-03,"Do not generalize this calculation to other FTMO products or firms."
PFR-003,Verified,FTMO,2-Step,Maximum Loss,"FTMO describes the 2-Step Maximum Loss as a static limit with a 10% Maximum Loss amount based on initial simulated capital.",https://ftmo.com/en/trading-objectives/,2026-09-19,2026-10-03,"The checked page also contains a different trailing rule for 1-Step."
PFR-004,Verified,FTMO,2-Step,Minimum Trading Days,"FTMO lists a minimum of four trading days for the Challenge and Verification.",https://ftmo.com/en/trading-objectives/,2026-09-19,2026-10-03,"Confirm the current product variant before use."
PFR-005,Verified,FTMO,1-Step,Loss limits,"FTMO lists a 3% Maximum Daily Loss amount and an end-of-day trailing Maximum Loss with a 10% amount for its 1-Step objectives.",https://ftmo.com/en/trading-objectives/,2026-09-19,2026-10-03,"Keep separate from the 2-Step static-loss rule."
PFR-006,Verified,FundedNext,Stellar 2-Step,Maximum Daily Loss,"FundedNext lists a 5% daily loss limit for Stellar 2-Step and counts running plus closed loss.",https://help.fundednext.com/en/articles/8019914-what-is-the-maximum-daily-loss-limit,2026-09-19,2026-10-03,"Other FundedNext programs use different percentages."
PFR-007,Verified,FundedNext,Stellar 1-Step,Maximum Daily Loss,"FundedNext lists a 3% daily loss limit for Stellar 1-Step and counts running plus closed loss.",https://help.fundednext.com/en/articles/8019914-what-is-the-maximum-daily-loss-limit,2026-09-19,2026-10-03,"Do not apply this figure to Stellar 2-Step or Stellar Lite."
PFR-008,Verified,FundedNext,Stellar 2-Step,Maximum Loss,"FundedNext lists a 10% Maximum Loss limit for Stellar 2-Step.",https://help.fundednext.com/en/articles/8019812-how-can-i-calculate-the-maximum-loss-limit,2026-09-19,2026-10-03,"Calculation examples and account type must be rechecked at publication."
PFR-009,Verified,FundedNext,Stellar 2-Step,Profit Target,"FundedNext lists an 8% target in Phase 1 and 5% in Phase 2 with no time limit.",https://help.fundednext.com/en/articles/8021071-what-is-the-profit-target-of-the-stellar-2-step-challenge,2026-09-19,2026-10-03,"Applies only to the checked Stellar 2-Step program."
PFR-010,Verified,Topstep,Trading Combine,Consistency Target,"Topstep's Trading Combine uses a 55% Consistency Target: the best day must be at or below 55% of the profit target; otherwise the profit target increases.",https://help.topstep.com/en/articles/8284208-consistency-at-topstep,2026-09-19,2026-10-03,"This is not the same as the Express Funded Account payout rule."
PFR-011,Verified,Topstep,Express Funded Account Consistency path,Consistency Objective,"Topstep's Express Funded Account Consistency payout path requires the best-day percentage to be 40% or below for payout eligibility.",https://help.topstep.com/en/articles/8284208-consistency-at-topstep,2026-09-19,2026-10-03,"Only applies when the Consistency payout path is selected."
PFR-012,Needs Fact Check,Any firm,Any program,Generic rule range,"No firm rule may be presented as a universal or typical percentage without a dated comparison methodology.",,2026-09-19,2026-09-19,"Blocks generic claims such as daily drawdown is usually 4-5% or consistency is typically 30-40%."
PFR-013,Verified,FTMO,FTMO Account,Account model,"FTMO states that FTMO Accounts use fictitious capital and that clients do not trade live markets on behalf of FTMO.",https://ftmo.com/faq/what-capital-will-i-trade-on-an-ftmo-account/,2026-09-19,2026-10-03,"This describes FTMO's model; do not generalize it to every proprietary trading firm."
PFR-014,Verified,FundedNext,FundedNext Account,Account model,"FundedNext describes its funded-stage account as a simulated account with reward eligibility based on performance.",https://help.fundednext.com/en/articles/11982431-how-does-fundednext-work,2026-09-19,2026-10-03,"This describes FundedNext's model; review the current program terms before publication."
