"item_id","title","url","content_status","canonical_url","category","primary_keyword","supporting_keywords","search_intent","content_role","topic_cluster","pillar_url","pillar_status","paired_content_urls","keyword_evidence","keyword_market","market_tier","market_rationale","keyword_volume","keyword_sd","keyword_cpc_usd","keyword_checked_on","canonical_action","gsc_market","gsc_top_query","gsc_clicks_period","gsc_impressions_period","gsc_ctr_percent_period","gsc_avg_position_period","gsc_period","priority","last_content_review","last_gsc_refresh","notes"
"proplogai-live-blog-blogs","Blog | PropLogAI Blog","https://proplogai.com/blogs","live","https://proplogai.com/blogs","Navigation","PropLogAI blog","trading journal articles | prop firm trader education","Navigational","Index","Portfolio Navigation","https://proplogai.com/blogs","Current","https://proplogai.com/glossary","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Blog discovery index. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-ai-journal-pattern-detection","How an AI Trading Coach Finds Patterns in Your Journal Data | PropLogAI Blog","https://proplogai.com/blogs/ai-journal-pattern-detection","live","https://proplogai.com/blogs/ai-journal-pattern-detection","AI Coaching","AI trading journal analysis","trading pattern recognition | AI journal patterns | journal data analysis","Informational","Cluster support","AI Coaching and Journal Analytics","https://proplogai.com/blogs/ai-trading-coach-prop-firm","Current","https://proplogai.com/glossary/pattern-recognition | https://proplogai.com/glossary/performance-report","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Explain journal-data pattern review. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-ai-trading-coach-prop-firm","AI Trading Coach for Prop Firm Traders: What It Should and Should Not Do | PropLogAI Blog","https://proplogai.com/blogs/ai-trading-coach-prop-firm","live","https://proplogai.com/blogs/ai-trading-coach-prop-firm","AI Coaching","AI trading coach for prop firm traders","AI journal coach | trading discipline AI | journal analysis coach","Commercial informational","Pillar","AI Coaching and Journal Analytics","https://proplogai.com/blogs/ai-trading-coach-prop-firm","Current","https://proplogai.com/glossary/ai-trading-coach | https://proplogai.com/glossary/pattern-recognition","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P1","2026-09-24","","Current AI coaching pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-ai-trading-discipline","How to Use AI to Improve Trading Discipline Without Taking Trading Advice | PropLogAI Blog","https://proplogai.com/blogs/ai-trading-discipline","live","https://proplogai.com/blogs/ai-trading-discipline","AI Coaching","AI trading discipline","AI trading coach discipline | journal based trading feedback | AI rule adherence review","Informational","Cluster support","AI Coaching and Journal Analytics","https://proplogai.com/blogs/ai-trading-coach-prop-firm","Current","https://proplogai.com/glossary/ai-trading-coach | https://proplogai.com/glossary/setup-compliance","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Keep the advice boundary explicit. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-daily-drawdown-calculator","Daily Drawdown Calculator for Prop Firm Traders | PropLogAI Blog","https://proplogai.com/blogs/daily-drawdown-calculator","live","https://proplogai.com/blogs/daily-drawdown-calculator","Risk Management","daily drawdown calculator","prop firm drawdown calculator | daily loss limit calculator | calculate daily drawdown","Informational utility","Utility guide","Risk and Drawdown","https://proplogai.com/blogs/prop-firm-risk-management","Current","https://proplogai.com/glossary/daily-drawdown-limit | https://proplogai.com/glossary/drawdown","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","","","","","","","","P1","2026-09-24","","Connect formula assumptions to definitions. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-forex-journal-funded-accounts","How to Keep a Forex Trading Journal for Funded Accounts | PropLogAI Blog","https://proplogai.com/blogs/forex-journal-funded-accounts","live","https://proplogai.com/blogs/forex-journal-funded-accounts","Journaling","trading journal for funded accounts","forex trading journal | funded trader journal | prop firm account journal","Informational","Cluster support","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trading-journal | https://proplogai.com/glossary/trade-review","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Narrow","India","prop firm trading journal","0","2","0%","73.5","2026-07-06/2026-09-17","P1","2026-09-24","2026-09-24","Differentiate funded-account workflow from the pillar. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-forex-trading-for-beginners","Forex Trading for Beginners: What to Learn Before Taking a Prop Firm Challenge | PropLogAI Blog","https://proplogai.com/blogs/forex-trading-for-beginners","live","https://proplogai.com/blogs/forex-trading-for-beginners","Prop Firm Rules","forex trading for beginners","prop firm challenge for beginners | learn forex before prop firm | forex basics for evaluation","Informational","Cluster support","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/glossary/prop-firm-challenge | https://proplogai.com/glossary/trading-plan","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Beginner learning path before readiness. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-monthly-trading-review-template","Monthly Trading Review Template for Prop Firm Traders | PropLogAI Blog","https://proplogai.com/blogs/monthly-trading-review-template","live","https://proplogai.com/blogs/monthly-trading-review-template","Journaling","monthly trading review template","monthly trading journal review | prop firm monthly review | monthly performance review","Informational template","Template","Trading Journaling and Reviews","https://proplogai.com/blogs/prop-firm-trading-journal","Current","https://proplogai.com/glossary/trade-review | https://proplogai.com/glossary/performance-report","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep","","","","","","","","P2","2026-09-24","","Monthly review workflow support. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-overtrading-prop-firm-challenges","Overtrading in Prop Firm Challenges: Causes, Signs, and Fixes | PropLogAI Blog","https://proplogai.com/blogs/overtrading-prop-firm-challenges","live","https://proplogai.com/blogs/overtrading-prop-firm-challenges","Discipline","overtrading in prop firm challenges","how to avoid overtrading | overtrading causes | stop overtrading workflow","Informational","Cluster support","Trading Discipline and Rulebooks","https://proplogai.com/blogs/trading-discipline-prop-firm","Current","https://proplogai.com/glossary/overtrading | https://proplogai.com/glossary/setup-compliance","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Refresh","","","","","","","","P1","2026-09-24","","Application guide supporting the glossary owner. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
"proplogai-live-blog-prop-firm-challenge-readiness","How to Know If You Are Ready for a Prop Firm Challenge | PropLogAI Blog","https://proplogai.com/blogs/prop-firm-challenge-readiness","live","https://proplogai.com/blogs/prop-firm-challenge-readiness","Prop Firm Rules","prop firm challenge readiness","ready for prop firm challenge | prop firm evaluation checklist | challenge preparation","Informational checklist","Interim pillar","Prop Firm Rules and Readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","Interim","https://proplogai.com/glossary/prop-firm-challenge | https://proplogai.com/glossary/funded-account","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","2026-09-24","Keep and narrow","","","","","","","","P1","2026-09-24","","Interim pillar until the rules guide exists. India is the primary market; earlier US keyword and global GSC data are historical evidence only."
