url,content_type,sitemap_lastmod,checked_date,status,final_url,redirect_count,title,title_length,description,description_length,canonical,canonical_matches,robots,noindex,published_time,modified_time,visible_time_values,h1_count,h1,word_count_approx,internal_links,blog_links,glossary_links,external_source_links,jsonld_blocks,schema_types,image_count,images_missing_alt,risky_flags,response_ms,error
https://proplogai.com/blogs,blog_index,2026-07-18,2026-09-19,200,https://proplogai.com/blogs,0,Blog | PropLogAI Blog,21,"Trading psychology, discipline, and performance insights from PropLogAI — the AI-powered trading journal for prop firm traders.",127,https://proplogai.com/blogs,true,,false,,,,1,Insights & Resources,951,25,24,0,0,0,,24,0,guarantee|outcome_language|advice_signal,131,
https://proplogai.com/blogs/monthly-trading-review-template,blog,2026-07-18,2026-09-19,200,https://proplogai.com/blogs/monthly-trading-review-template,0,Monthly Trading Review Template for Prop Firm Traders | PropLogAI Blog,70,"A copyable 5-part monthly trading review template for prop firm traders -- compare weeks, spot recurring patterns, and plan one real adjustment.",144,https://proplogai.com/blogs/monthly-trading-review-template/,true,,false,,,,2,Monthly Trading Review Template for Prop Firm Traders | Monthly Trading Review Template for Prop Firm Traders,1584,12,9,0,0,0,,4,0,,205,
https://proplogai.com/blogs/weekly-trading-review-template,blog,2026-07-18,2026-09-19,200,https://proplogai.com/blogs/weekly-trading-review-template,0,Weekly Trading Review Template for Forex Traders | PropLogAI Blog,65,"A copyable 5-part weekly trading review template for forex traders -- track rule compliance, patterns, and one specific fix to test each week.",142,https://proplogai.com/blogs/weekly-trading-review-template/,true,,false,,,,2,Weekly Trading Review Template for Forex Traders | Weekly Trading Review Template for Forex Traders,1647,11,8,0,0,0,,4,0,,1185,
https://proplogai.com/blogs/prop-firm-challenge-readiness,blog,2026-07-16,2026-09-19,200,https://proplogai.com/blogs/prop-firm-challenge-readiness,0,How to Know If You Are Ready for a Prop Firm Challenge | PropLogAI Blog,71,"A 6-signal honest self-assessment checklist for prop firm readiness -- track record, risk calculation, a written plan, and more, checked before you pay.",152,https://proplogai.com/blogs/prop-firm-challenge-readiness/,true,,false,,,,2,How to Know If You Are Ready for a Prop Firm Challenge | How to Know If You Are Ready for a Prop Firm Challenge,1605,9,6,0,0,0,,4,0,guarantee,197,
https://proplogai.com/blogs/forex-trading-for-beginners,blog,2026-07-15,2026-09-19,200,https://proplogai.com/blogs/forex-trading-for-beginners,0,Forex Trading for Beginners: What to Learn Before Taking a Prop Firm Challenge | PropLogAI Blog,95,"Learn the forex trading foundations -- risk management, position sizing, risk-to-reward, and more -- worth knowing before your first prop firm challenge.",153,https://proplogai.com/blogs/forex-trading-for-beginners/,true,,false,,,,2,Forex Trading for Beginners: What to Learn Before Taking a Prop Firm Challenge | Forex Trading for Beginners: What to Learn Before Taking a Prop Firm Challenge,1740,9,6,0,0,0,,4,0,guarantee,1212,
https://proplogai.com/blogs/prop-firm-risk-management,blog,2026-07-15,2026-09-19,200,https://proplogai.com/blogs/prop-firm-risk-management,0,What Is Risk Management in Forex Trading? | PropLogAI Blog,58,"Risk management broken into its real components: risk per trade, stop-loss discipline, daily limits, and diversification -- explained, not prescribed.",150,https://proplogai.com/blogs/prop-firm-risk-management/,true,,false,,,,2,What Is Risk Management in Forex Trading? | What Is Risk Management in Forex Trading?,1802,8,5,0,0,0,,4,0,guarantee,1188,
https://proplogai.com/blogs/ai-journal-pattern-detection,blog,2026-07-13,2026-09-19,200,https://proplogai.com/blogs/ai-journal-pattern-detection,0,How an AI Trading Coach Finds Patterns in Your Journal Data | PropLogAI Blog,76,"See the actual mechanics behind AI journal pattern detection -- correlation, clustering, sequence detection, and outlier flags, all on your own trade history.",158,https://proplogai.com/blogs/ai-journal-pattern-detection/,true,,false,,,,2,How an AI Trading Coach Finds Patterns in Your Journal Data | How an AI Trading Coach Finds Patterns in Your Journal Data,1716,8,5,0,0,0,,4,0,guarantee|advice_signal,114,
https://proplogai.com/blogs/ai-trading-discipline,blog,2026-07-13,2026-09-19,200,https://proplogai.com/blogs/ai-trading-discipline,0,How to Use AI to Improve Trading Discipline Without Taking Trading Advice | PropLogAI Blog,90,A step-by-step process for improving trading discipline with AI review of your own journal data -- without crossing into trade signals or advice.,145,https://proplogai.com/blogs/ai-trading-discipline/,true,,false,,,,2,How to Use AI to Improve Trading Discipline Without Taking Trading Advice | How to Use AI to Improve Trading Discipline Without Taking Trading Advice,1687,9,6,0,0,0,,4,0,guarantee|advice_signal,103,
https://proplogai.com/blogs/daily-drawdown-calculator,blog,2026-07-13,2026-09-19,200,https://proplogai.com/blogs/daily-drawdown-calculator,0,Daily Drawdown Calculator for Prop Firm Traders | PropLogAI Blog,64,"Learn how prop firm daily drawdown limits work, balance-based vs equity-based calculations, and how to track your own real-time buffer.",135,https://proplogai.com/blogs/daily-drawdown-calculator/,true,,false,,,,2,Daily Drawdown Calculator for Prop Firm Traders | Daily Drawdown Calculator for Prop Firm Traders,1660,8,5,0,0,0,,4,0,guarantee,108,
https://proplogai.com/blogs/prop-firm-consistency-calculator,blog,2026-07-13,2026-09-19,200,https://proplogai.com/blogs/prop-firm-consistency-calculator,0,Prop Firm Consistency Calculator: How to Know If You Can Request Payout | PropLogAI Blog,88,"Learn how prop firm consistency rules work, the exact ratio formula firms use, and how to calculate your own score before requesting a payout.",142,https://proplogai.com/blogs/prop-firm-consistency-calculator/,true,,false,,,,2,Prop Firm Consistency Calculator: How to Know If You Can Request Payout | Prop Firm Consistency Calculator: How to Know If You Can Request Payout,1860,9,6,0,0,0,,4,0,,115,
https://proplogai.com/blogs/ai-trading-coach-prop-firm,blog,2026-07-09,2026-09-19,200,https://proplogai.com/blogs/ai-trading-coach-prop-firm,0,AI Trading Coach for Prop Firm Traders: What It Should and Should Not Do | PropLogAI Blog,89,"Learn what an AI trading coach for prop firm traders should and should not do -- pattern review on your own data, never signals or guaranteed outcomes.",151,https://proplogai.com/blogs/ai-trading-coach-prop-firm/,true,,false,,,,2,AI Trading Coach for Prop Firm Traders: What It Should and Should Not Do | AI Trading Coach for Prop Firm Traders: What It Should and Should Not Do,1720,8,5,0,0,0,,4,0,advice_signal,82,
https://proplogai.com/blogs/prop-firm-roi-calculator,blog,2026-07-09,2026-09-19,200,https://proplogai.com/blogs/prop-firm-roi-calculator,0,"Prop Firm ROI Calculator: Fees, Payouts, and Failed Challenges | PropLogAI Blog",79,"Calculate your real prop firm ROI by counting every challenge fee, reset, and payout across all attempts, not just the one that passed.",135,https://proplogai.com/blogs/prop-firm-roi-calculator/,true,,false,,,,2,"Prop Firm ROI Calculator: Fees, Payouts, and Failed Challenges | Prop Firm ROI Calculator: Fees, Payouts, and Failed Challenges",1792,7,4,0,0,0,,4,0,,117,
https://proplogai.com/blogs/overtrading-prop-firm-challenges,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/overtrading-prop-firm-challenges,0,"Overtrading in Prop Firm Challenges: Causes, Signs, and Fixes | PropLogAI Blog",78,"Learn why overtrading happens during prop firm challenges, how to spot behavior drift, and practical journal-based review steps to support discipline.",150,https://proplogai.com/blogs/overtrading-prop-firm-challenges/,true,,false,,,,2,"Overtrading in Prop Firm Challenges: Causes, Signs, and Fixes | Overtrading in Prop Firm Challenges: Causes, Signs, and Fixes",1880,8,5,0,0,0,,4,0,guarantee|advice_signal,107,
https://proplogai.com/blogs/prop-firm-pnl-calendar,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/prop-firm-pnl-calendar,0,P&L Calendar for Traders: Spot Revenge Days and Losing Streaks | PropLogAI Blog,79,"Learn how traders can use a P&L calendar to review losing streaks, spot revenge-trading patterns, and build safer post-loss routines without relying on signals.",160,https://proplogai.com/blogs/prop-firm-pnl-calendar/,true,,false,,,,2,P&L Calendar for Traders: Spot Revenge Days and Losing Streaks | P&#x26;L Calendar for Traders: How to Spot Revenge Days and Losing Streaks,1605,9,6,0,0,0,,4,0,guarantee|advice_signal,78,
https://proplogai.com/blogs/prop-firm-trading-rulebook,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/prop-firm-trading-rulebook,0,How to Create a Trading Rulebook You Actually Follow | PropLogAI Blog,69,"Learn how to build a practical trading rulebook with clear risk rules, behavior rules, checklists, and review habits for more disciplined self-review.",150,https://proplogai.com/blogs/prop-firm-trading-rulebook/,true,,false,,,,2,How to Create a Trading Rulebook You Actually Follow | How to Create a Trading Rulebook You Actually Follow,1903,8,5,0,0,0,,4,0,guarantee|advice_signal,98,
https://proplogai.com/blogs/revenge-trading-prop-firm,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/revenge-trading-prop-firm,0,Revenge Trading in Prop Firm Challenges: How to Stop the Cycle | PropLogAI Blog,79,"Learn what revenge trading looks like in prop firm challenges, why it happens after losses, and how to build a safer review routine without relying on trading signals.",167,https://proplogai.com/blogs/revenge-trading-prop-firm/,true,,false,,,,2,Revenge Trading in Prop Firm Challenges: How to Stop the Cycle | Revenge Trading in Prop Firm Challenges: How to Stop the Cycle,1852,8,5,0,0,0,,4,0,guarantee|outcome_language,88,
https://proplogai.com/blogs/tracking-trading-emotions,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/tracking-trading-emotions,0,How to Track Trading Emotions Without Turning Your Journal Into a Diary | PropLogAI Blog,88,"Learn a structured way to track trading emotions with tags instead of long journal entries, so patterns are easy to review instead of buried in a diary.",152,https://proplogai.com/blogs/tracking-trading-emotions/,true,,false,,,,2,How to Track Trading Emotions Without Turning Your Journal Into a Diary | How to Track Trading Emotions Without Turning Your Journal Into a Diary,1783,9,6,0,0,0,,4,0,advice_signal,94,
https://proplogai.com/blogs/trading-discipline-prop-firm,blog,2026-07-07,2026-09-19,200,https://proplogai.com/blogs/trading-discipline-prop-firm,0,Trading Discipline for Prop Firm Traders: A Practical System | PropLogAI Blog,77,"Build a practical trading discipline system for prop firm rules, daily routines, risk review, journaling, and process accountability without relying on motivation.",163,https://proplogai.com/blogs/trading-discipline-prop-firm/,true,,false,,,,2,Trading Discipline for Prop Firm Traders: A Practical System | Trading Discipline for Prop Firm Traders: A Practical System,1590,10,7,0,0,0,,4,0,guarantee,103,
