page,clicks,impressions,ctr,position,range_start,range_end,search_type
https://proplogai.com/,3,73,4.1%,17.0,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/overtrading,0,70,0%,81.8,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-consistency-calculator,0,69,0%,64.9,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/drawdown,0,34,0%,78.5,2026-07-06,2026-09-17,Web
https://proplogai.com/tools,0,24,0%,11.2,2026-07-06,2026-09-17,Web
https://proplogai.com/pricing,0,22,0%,24.9,2026-07-06,2026-09-17,Web
https://proplogai.com/terms,0,15,0%,12.3,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-expense-tracking-guide,0,15,0%,16.7,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/daily-drawdown-calculator,0,15,0%,28.8,2026-07-06,2026-09-17,Web
https://proplogai.com/about,0,15,0%,32.9,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/revenge-trading-prop-firm/,0,14,0%,46.3,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/trading-journal-fields,0,12,0%,39.3,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/forex-journal-funded-accounts,0,10,0%,32.3,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/consistency-rule,0,10,0%,79.2,2026-07-06,2026-09-17,Web
https://proplogai.com/contact,0,9,0%,4.8,2026-07-06,2026-09-17,Web
https://proplogai.com/refund-policy,0,9,0%,19.7,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-pnl-calendar,0,9,0%,23.8,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-challenge-readiness,0,8,0%,7.0,2026-07-06,2026-09-17,Web
https://proplogai.com/privacy,0,8,0%,24.8,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/trading-discipline-prop-firm,0,8,0%,63.8,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs,0,7,0%,5.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-trading-journal,0,7,0%,45.9,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/trading-journal-benefits,0,7,0%,50.1,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-roi-calculator,0,6,0%,12.7,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-trading-rulebook,0,5,0%,8.2,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/monthly-trading-review-template,0,5,0%,9.4,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/ai-trading-coach-prop-firm,0,4,0%,9.8,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/tracking-trading-emotions,0,4,0%,28.5,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/weekly-trading-review-template,0,3,0%,8.0,2026-07-06,2026-09-17,Web
https://proplogai.com/tools/consistency-calculator,0,3,0%,83.3,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/ai-trading-discipline,0,2,0%,6.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/overtrading-prop-firm-challenges,0,2,0%,25.0,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/sharpe-ratio,0,2,0%,66.5,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/profit-factor,0,2,0%,85.0,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/overall-drawdown-limit,0,1,0%,2.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/revenge-trading-prop-firm,0,1,0%,3.0,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/rule-based-trading,0,1,0%,9.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/ai-journal-pattern-detection,0,1,0%,10.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/prop-firm-risk-management,0,1,0%,10.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/trading-emotions-account-killer,0,1,0%,10.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/trading-psychology-prop-firm,0,1,0%,47.0,2026-07-06,2026-09-17,Web
https://proplogai.com/blogs/forex-trading-for-beginners,0,1,0%,48.0,2026-07-06,2026-09-17,Web
https://proplogai.com/glossary/daily-drawdown-limit,0,1,0%,81.0,2026-07-06,2026-09-17,Web
