"source_item_id","source_url","source_primary_keyword","target_item_id","target_url","target_primary_keyword","anchor_text","link_context","relationship","status","destination_quality_status","destination_http_status","destination_canonical_url","last_verified","reason_or_follow_up"
"proplogai-live-blog-blogs","https://proplogai.com/blogs","PropLogAI blog","proplogai-live-glossary-glossary","https://proplogai.com/glossary","PropLogAI trading glossary","PropLogAI trading glossary","Use where 'PropLogAI trading glossary' is first explained or applied.","cross_type_navigation","planned","audited_live_page","200","https://proplogai.com/glossary","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-journal-pattern-detection","https://proplogai.com/blogs/ai-journal-pattern-detection","AI trading journal analysis","proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","AI trading coach for prop firm traders","AI trading coach for prop firm traders","Use where 'AI trading coach for prop firm traders' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/ai-trading-coach-prop-firm","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-journal-pattern-detection","https://proplogai.com/blogs/ai-journal-pattern-detection","AI trading journal analysis","proplogai-live-glossary-pattern-recognition","https://proplogai.com/glossary/pattern-recognition","trading pattern recognition","trading pattern recognition","Use where 'trading pattern recognition' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/pattern-recognition","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-journal-pattern-detection","https://proplogai.com/blogs/ai-journal-pattern-detection","AI trading journal analysis","proplogai-live-glossary-performance-report","https://proplogai.com/glossary/performance-report","trading performance report","trading performance report","Use where 'trading performance report' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/performance-report","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","ai trading coach prop firm","proplogai-live-blog-ai-journal-pattern-detection","https://proplogai.com/blogs/ai-journal-pattern-detection","ai journal pattern detection","how journal pattern detection works","Mechanics intent separated","pillar_to_cluster","verified_in_draft","approved","200","https://proplogai.com/blogs/ai-journal-pattern-detection","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","ai trading coach prop firm","proplogai-live-blog-ai-trading-discipline","https://proplogai.com/blogs/ai-trading-discipline","ai trading discipline","discipline review workflow","Discipline workflow intent separated","pillar_to_cluster","verified_in_draft","approved","200","https://proplogai.com/blogs/ai-trading-discipline","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","AI trading coach for prop firm traders","proplogai-live-glossary-ai-trading-coach","https://proplogai.com/glossary/ai-trading-coach","AI trading coach","AI trading coach","Use where 'AI trading coach' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/ai-trading-coach","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","AI trading coach for prop firm traders","proplogai-live-glossary-pattern-recognition","https://proplogai.com/glossary/pattern-recognition","trading pattern recognition","trading pattern recognition","Use where 'trading pattern recognition' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/pattern-recognition","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-trading-discipline","https://proplogai.com/blogs/ai-trading-discipline","AI trading discipline","proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","AI trading coach for prop firm traders","AI trading coach for prop firm traders","Use where 'AI trading coach for prop firm traders' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/ai-trading-coach-prop-firm","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-trading-discipline","https://proplogai.com/blogs/ai-trading-discipline","AI trading discipline","proplogai-live-glossary-ai-trading-coach","https://proplogai.com/glossary/ai-trading-coach","AI trading coach","AI trading coach","Use where 'AI trading coach' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/ai-trading-coach","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-ai-trading-discipline","https://proplogai.com/blogs/ai-trading-discipline","AI trading discipline","proplogai-live-glossary-setup-compliance","https://proplogai.com/glossary/setup-compliance","setup compliance","setup compliance","Use where 'setup compliance' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/setup-compliance","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-daily-drawdown-calculator","https://proplogai.com/blogs/daily-drawdown-calculator","daily drawdown calculator","proplogai-live-blog-prop-firm-risk-management","https://proplogai.com/blogs/prop-firm-risk-management","forex risk management","forex risk management","Use where 'forex risk management' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/prop-firm-risk-management","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-daily-drawdown-calculator","https://proplogai.com/blogs/daily-drawdown-calculator","daily drawdown calculator","proplogai-live-glossary-daily-drawdown-limit","https://proplogai.com/glossary/daily-drawdown-limit","daily drawdown limit","daily drawdown limit","First useful definition mention","definition","verified_in_draft","approved","200","https://proplogai.com/glossary/daily-drawdown-limit","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-daily-drawdown-calculator","https://proplogai.com/blogs/daily-drawdown-calculator","daily drawdown calculator","proplogai-live-glossary-drawdown","https://proplogai.com/glossary/drawdown","drawdown in prop firm","drawdown in prop firm","Use where 'drawdown in prop firm' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/drawdown","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-daily-drawdown-calculator","https://proplogai.com/blogs/daily-drawdown-calculator","daily drawdown calculator","proplogai-live-glossary-overall-drawdown-limit","https://proplogai.com/glossary/overall-drawdown-limit","overall drawdown limit","overall drawdown limit","Daily versus overall rule distinction","definition","verified_in_draft","approved","200","https://proplogai.com/glossary/overall-drawdown-limit","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-forex-journal-funded-accounts","https://proplogai.com/blogs/forex-journal-funded-accounts","forex journal funded accounts","proplogai-live-blog-prop-firm-trading-journal","https://proplogai.com/blogs/prop-firm-trading-journal","prop firm trading journal","prop firm trading journal guide","Funded-account workflow narrowed under journal pillar","cluster_to_pillar","verified_in_draft","approved","200","https://proplogai.com/blogs/prop-firm-trading-journal","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-forex-journal-funded-accounts","https://proplogai.com/blogs/forex-journal-funded-accounts","trading journal for funded accounts","proplogai-live-glossary-trade-review","https://proplogai.com/glossary/trade-review","trade review","trade review","Use where 'trade review' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/trade-review","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-forex-journal-funded-accounts","https://proplogai.com/blogs/forex-journal-funded-accounts","trading journal for funded accounts","proplogai-live-glossary-trading-journal","https://proplogai.com/glossary/trading-journal","trading journal","trading journal","Use where 'trading journal' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/trading-journal","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-forex-trading-for-beginners","https://proplogai.com/blogs/forex-trading-for-beginners","forex trading for beginners","proplogai-live-blog-prop-firm-challenge-readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","prop firm challenge readiness","prop firm challenge readiness","Use where 'prop firm challenge readiness' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/prop-firm-challenge-readiness","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-forex-trading-for-beginners","https://proplogai.com/blogs/forex-trading-for-beginners","forex trading for beginners","proplogai-live-glossary-prop-firm-challenge","https://proplogai.com/glossary/prop-firm-challenge","prop firm challenge","prop firm challenge","Use where 'prop firm challenge' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/prop-firm-challenge","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-forex-trading-for-beginners","https://proplogai.com/blogs/forex-trading-for-beginners","forex trading for beginners","proplogai-live-glossary-trading-plan","https://proplogai.com/glossary/trading-plan","trading plan","trading plan","Use where 'trading plan' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/trading-plan","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-monthly-trading-review-template","https://proplogai.com/blogs/monthly-trading-review-template","monthly trading review template","proplogai-live-blog-prop-firm-trading-journal","https://proplogai.com/blogs/prop-firm-trading-journal","prop firm trading journal","prop firm trading journal","Use where 'prop firm trading journal' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/prop-firm-trading-journal","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-monthly-trading-review-template","https://proplogai.com/blogs/monthly-trading-review-template","monthly trading review template","proplogai-live-glossary-performance-report","https://proplogai.com/glossary/performance-report","trading performance report","trading performance report","Use where 'trading performance report' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/performance-report","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-monthly-trading-review-template","https://proplogai.com/blogs/monthly-trading-review-template","monthly trading review template","proplogai-live-glossary-trade-review","https://proplogai.com/glossary/trade-review","trade review","trade review","Use where 'trade review' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/trade-review","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-overtrading-prop-firm-challenges","https://proplogai.com/blogs/overtrading-prop-firm-challenges","overtrading in prop firm challenges","proplogai-live-blog-trading-discipline-prop-firm","https://proplogai.com/blogs/trading-discipline-prop-firm","trading discipline","trading discipline","Use where 'trading discipline' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/trading-discipline-prop-firm","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-overtrading-prop-firm-challenges","https://proplogai.com/blogs/overtrading-prop-firm-challenges","overtrading in prop firm challenges","proplogai-live-glossary-overtrading","https://proplogai.com/glossary/overtrading","overtrading","overtrading","First useful definition mention","definition","verified_in_draft","approved","200","https://proplogai.com/glossary/overtrading","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-overtrading-prop-firm-challenges","https://proplogai.com/blogs/overtrading-prop-firm-challenges","overtrading in prop firm challenges","proplogai-live-glossary-setup-compliance","https://proplogai.com/glossary/setup-compliance","setup compliance","setup compliance","Use where 'setup compliance' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/setup-compliance","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-prop-firm-challenge-readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","prop firm challenge readiness","proplogai-live-glossary-funded-account","https://proplogai.com/glossary/funded-account","funded trading account","funded trading account","Use where 'funded trading account' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/funded-account","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-prop-firm-challenge-readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","prop firm challenge readiness","proplogai-live-glossary-prop-firm-challenge","https://proplogai.com/glossary/prop-firm-challenge","prop firm challenge","prop firm challenge","Use where 'prop firm challenge' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/prop-firm-challenge","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-prop-firm-consistency-calculator","https://proplogai.com/blogs/prop-firm-consistency-calculator","prop firm consistency calculator","proplogai-live-blog-prop-firm-challenge-readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","prop firm challenge readiness","prop firm challenge readiness","Use where 'prop firm challenge readiness' is first explained or applied.","cluster_to_pillar","planned","audited_live_page","200","https://proplogai.com/blogs/prop-firm-challenge-readiness","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-prop-firm-consistency-calculator","https://proplogai.com/blogs/prop-firm-consistency-calculator","prop firm consistency calculator","proplogai-live-glossary-consistency-rule","https://proplogai.com/glossary/consistency-rule","consistency rule","consistency rule","First useful definition mention","definition","verified_in_draft","approved","200","https://proplogai.com/glossary/consistency-rule","2026-09-21","Deploy Batch F before marking live_verified"
"proplogai-live-blog-prop-firm-consistency-calculator","https://proplogai.com/blogs/prop-firm-consistency-calculator","prop firm consistency calculator","proplogai-live-glossary-profit-target","https://proplogai.com/glossary/profit-target","prop firm profit target","prop firm profit target","Use where 'prop firm profit target' is first explained or applied.","blog_to_glossary","planned","audited_live_page","200","https://proplogai.com/glossary/profit-target","2026-09-24","Batch G1 portfolio architecture; confirm natural placement during the next content revision."
"proplogai-live-blog-prop-firm-consistency-calculator","https://proplogai.com/blogs/prop-firm-consistency-calculator","prop firm consistency calculator","proplogai-tool-consistency-calculator","https://proplogai.com/tools/consistency-calculator","consistency calculator","consistency calculator","Calculation task separated from explanation","other","verified_in_draft","approved","200","https://proplogai.com/tools/consistency-calculator","2026-09-21","Deploy Batch F before marking live_verified"
