keyword,market,language,monthly_volume,seo_difficulty,cpc_usd,primary_intent,evidence_source,checked_on,portfolio_use
trading journal,United States,en,5400,47,3.35,informational,Ubersuggest,2026-09-24,Existing glossary definition and journal cluster demand
free trading journal,United States,en,1000,24,4.47,informational,Ubersuggest,2026-09-24,Potential product-support page; review pillar overlap first
trading journal template,United States,en,590,21,1.38,informational,Ubersuggest,2026-09-24,High-priority future template opportunity
what is a trading journal,United States,en,320,39,10.86,informational,Ubersuggest,2026-09-24,Glossary definition support
trading psychology,United States,en,1000,43,4.02,informational,Ubersuggest,2026-09-24,Existing psychology pillar
trading discipline,United States,en,90,35,1.33,mixed,Ubersuggest,2026-09-24,Existing discipline pillar
prop firm rules,United States,en,50,11,8.95,commercial informational,Ubersuggest,2026-09-24,New pillar opportunity with strict source controls
prop firm drawdown,United States,en,10,25,4.43,informational,Ubersuggest,2026-09-24,Existing drawdown and risk cluster
position sizing,United States,en,260,45,2.88,informational,Ubersuggest,2026-09-24,Existing glossary definition
forex position sizing calculator,United States,en,1600,27,2.72,informational utility,Ubersuggest,2026-09-24,Tool-plus-guide opportunity; engineering dependency
profit factor,United States,en,320,17,0,informational,Ubersuggest,2026-09-24,Existing glossary definition
what is profit factor in trading,United States,en,170,13,0,informational,Ubersuggest,2026-09-24,Supporting query for glossary definition
trading expectancy,United States,en,70,19,0,informational,Ubersuggest,2026-09-24,Existing glossary definition
trading expectancy calculator,United States,en,70,10,0,informational utility,Ubersuggest,2026-09-24,Future calculator guide opportunity
prop firm expenses,United States,en,0,12,0,unknown,Ubersuggest,2026-09-24,Existing expense guide; rely on GSC and reader need
prop firm payout,United States,en,90,13,3.465,mixed,Ubersuggest,2026-09-24,Future source-sensitive payout-rules guide
