query,query_impressions,query_position,landing_page,page_impressions_for_query,page_position_for_query,ownership_result,recommended_action
overtrading,28,81.6,https://proplogai.com/glossary/overtrading,28,81.6,Canonical definition owner,Strengthen definition and link to the deeper overtrading guide
prop log,18,11.3,https://proplogai.com/tools,15,9.6,Ambiguous brand or generic query,Improve homepage brand signals and monitor before changing ownership
prop log,18,11.3,https://proplogai.com/,3,20.0,Secondary landing page,Keep homepage as intended brand owner
prop log,18,11.3,https://proplogai.com/terms,3,49.7,Unwanted secondary landing page,Do not optimize legal terms for this query
prop log,18,11.3,https://proplogai.com/about,3,81.0,Unwanted secondary landing page,Do not optimize about page for this query
what is drawdown in prop firm,18,74.2,https://proplogai.com/glossary/drawdown,18,74.2,Canonical definition owner,Link to daily and overall drawdown definitions plus the calculator guide
app to stop revenge trading,11,55.2,https://proplogai.com/blogs/revenge-trading-prop-firm/,11,55.2,Canonical workflow owner,Refresh snippet around journaling and cooling-off workflow without app-stop promises
prop firm consistency rule,11,69.5,https://proplogai.com/blogs/prop-firm-consistency-calculator,11,69.5,Guide currently owns both definition and calculator intent,Link prominently to the glossary definition and live calculator
consistency rule calculator,10,70.8,https://proplogai.com/blogs/prop-firm-consistency-calculator,9,69.0,Informational calculator-guide owner,Keep explanation and worked examples here
consistency rule calculator,10,70.8,https://proplogai.com/tools/consistency-calculator,1,87.0,Utility owner,Use calculation task copy and link from the guide
prop firm trading journal,4,56.8,https://proplogai.com/blogs/prop-firm-trading-journal,2,40.0,Preferred pillar owner,Consolidate broad benefits material here and strengthen exact-intent title and links
prop firm trading journal,4,56.8,https://proplogai.com/blogs/forex-journal-funded-accounts,2,73.5,Competing secondary page,Narrow to funded-account journal workflow and link to the pillar
