priority,url,content_type,issue,evidence,recommended_action,owner,status,last_checked
P1,sitewide:content,blog_and_glossary,No external source links,Zero external source links across 59 content URLs,Create dated source registers and verify sensitive claims,Editorial and fact check,Open,2026-09-19
P1,sitewide:blogs,blog,Duplicate H1 template,18 of 24 articles render hero H1 plus body H1,Keep one H1 and retest every article,Web engineering,Open,2026-09-19
P1,https://proplogai.com/glossary/sitemap.xml,glossary_sitemap,Duplicate canonical term URL,daily-drawdown-limit appears twice and 36 cards resolve to 35 unique terms,Choose one canonical label and emit one sitemap record,SEO and web engineering,Open,2026-09-19
P1,sitewide:content,blog_and_glossary,Inconsistent product name,PropLog AI appears on 21 pages and Propol AI on 7 pages,Normalize to PropLogAI and add automated lint rule,Editorial and web engineering,Open,2026-09-19
P1,sitewide:content,blog_and_glossary,No structured data,No JSON-LD found on 61 audited pages,Add BlogPosting or Article DefinedTerm and BreadcrumbList schema,Web engineering and SEO,Open,2026-09-19
P1,sitewide:content,blog_and_glossary,No date signals,No visible date or article date metadata on 59 content URLs,Add honest published and updated dates without fabricating history,Editorial and web engineering,Open,2026-09-19
P1,sitewide:content,blog_and_glossary,No cross-type internal links,Search-led owner pairs lacked two-way reader paths,Implement curated definition-to-guide linking map,SEO editor,Implemented locally for approved priority clusters; review and release pending,2026-09-21
P1,https://proplogai.com/glossary/daily-drawdown-limit,glossary,Universal firm-rule claims,Unsourced 4-5 percent baseline instant breach and unrealized-loss wording,Rewrite around firm-specific methods with dated first-party examples,Fact check and editorial,Implemented locally; human review and release pending,2026-09-20
P1,https://proplogai.com/glossary/funded-account,glossary,Overstates real-capital model,Unsourced real-capital account-size and profit-split claims,Distinguish simulated and live structures and remove universal ranges,Fact check and editorial,Implemented locally; human review and release pending,2026-09-20
P1,https://proplogai.com/glossary/prop-firm-challenge,glossary,Universal challenge structure,Unsourced targets time limits funding model and pass-rate language,Replace with variation-first definition and named dated examples,Fact check and editorial,Implemented locally; human review and release pending,2026-09-20
P1,https://proplogai.com/glossary/consistency-rule,glossary,Prescriptive and universal wording,Unsourced 30-40 percent range plus advice not to worry about the rule,Explain formula variants and require named firm sources,Fact check and editorial,Implemented locally; human review and release pending,2026-09-20
P1,sitewide:high-risk-glossary,glossary,Unsupported benchmarks,Risk per trade win rate profit factor loss aversion profit target and drawdown pages use unsourced norms,Audit and rewrite the ten P1 glossary pages,Fact check and editorial,Implemented locally; human review and release pending,2026-09-20
P1,https://proplogai.com/blogs/trading-emotions-account-killer,blog,Sensational overlapping legacy page,1 impression and position 10.0; sample too small for deletion,Keep and refresh around neutral emotion-recording intent,SEO editor and editorial,Internal links repaired; full content refresh pending,2026-09-21
P1,https://proplogai.com/blogs/trading-journal-benefits,blog,Overlapping legacy journal page,7 impressions at position 50.1 while pillar has 7 at 45.9; journal query ownership is split,Consolidate unique value into prop-firm-trading-journal and propose redirect,SEO editor and editorial,Inbound promotion removed; consolidation and human redirect approval pending,2026-09-21
P1,https://proplogai.com/blogs/prop-firm-expense-tracking-guide,blog,Prescriptive legacy expense page,15 impressions at position 16.7 and zero clicks,Keep and refresh for record-keeping intent separate from ROI calculator,Editorial and fact check,Decision recorded; implementation pending,2026-09-20
P2,sitewide:metadata,blog_and_glossary,Metadata length outliers,22 blog titles over 60 characters plus 13 description outliers across both types,Rewrite around intent and inspect rendered search snippets,SEO editor,Open,2026-09-19
P2,sitewide:product-claims,blog,Product feature claims lack claim register,Articles describe automated calculations tracking and AI pattern capabilities without linked product evidence,Create approved product claim register with owner source and checked date,Product owner and editorial,Open,2026-09-19
