keyword,market,language,monthly_volume,seo_difficulty,cpc_usd,primary_intent,evidence_source,checked_on,portfolio_use
trading journal,India,en,8100,37,0.03,informational,Ubersuggest,2026-09-24,Existing glossary definition and journal cluster demand
free trading journal,India,en,480,31,0.15,informational,Ubersuggest,2026-09-24,Potential product-support page; review pillar overlap first
trading journal template,India,en,480,20,0,informational,Ubersuggest,2026-09-24,Approved supervised template pilot
what is a trading journal,India,en,20,5,0,informational,Ubersuggest,2026-09-24,Glossary definition support
trading psychology,India,en,2900,38,0.05,informational,Ubersuggest,2026-09-24,Existing psychology pillar
trading discipline,India,en,720,41,0.01,mixed,Ubersuggest,2026-09-24,Existing discipline pillar
prop firm rules,India,en,40,15,0,commercial informational,Ubersuggest,2026-09-24,New pillar opportunity with strict source controls
prop firm drawdown,India,en,10,13,0,informational,Ubersuggest,2026-09-24,Existing drawdown and risk cluster
position sizing,India,en,590,45,0,informational,Ubersuggest,2026-09-24,Existing glossary definition
forex position sizing calculator,India,en,10,5,0,informational utility,Ubersuggest,2026-09-24,Engineering-dependent tool opportunity; India demand is limited for this exact phrase
profit factor,India,en,170,18,0,informational,Ubersuggest,2026-09-24,Existing glossary definition
what is profit factor in trading,India,en,90,5,0,informational,Ubersuggest,2026-09-24,Supporting query for glossary definition
trading expectancy,India,en,70,18,0,informational,Ubersuggest,2026-09-24,Existing glossary definition
trading expectancy calculator,India,en,30,13,0,informational utility,Ubersuggest,2026-09-24,Future calculator guide opportunity
prop firm expenses,India,en,0,12,0,unknown,Ubersuggest,2026-09-24,Exact phrase returned zero; use reader need and India GSC rather than assuming no topic demand
prop firm payout,India,en,170,16,1.12,mixed,Ubersuggest,2026-09-24,Future source-sensitive payout guide
