"item_id","url","gsc_top_query","gsc_clicks_period","gsc_impressions_period","gsc_ctr_percent_period","gsc_avg_position_period","gsc_period","last_gsc_refresh"
"proplogai-live-blog-blogs","https://proplogai.com/blogs","","0","7","0%","5.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-ai-journal-pattern-detection","https://proplogai.com/blogs/ai-journal-pattern-detection","","0","1","0%","10.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-ai-trading-coach-prop-firm","https://proplogai.com/blogs/ai-trading-coach-prop-firm","","0","4","0%","9.8","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-ai-trading-discipline","https://proplogai.com/blogs/ai-trading-discipline","","0","2","0%","6.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-daily-drawdown-calculator","https://proplogai.com/blogs/daily-drawdown-calculator","","0","15","0%","28.8","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-forex-journal-funded-accounts","https://proplogai.com/blogs/forex-journal-funded-accounts","prop firm trading journal","0","10","0%","32.3","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-forex-trading-for-beginners","https://proplogai.com/blogs/forex-trading-for-beginners","","0","1","0%","48.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-monthly-trading-review-template","https://proplogai.com/blogs/monthly-trading-review-template","","0","5","0%","9.4","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-overtrading-prop-firm-challenges","https://proplogai.com/blogs/overtrading-prop-firm-challenges","","0","2","0%","25.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-challenge-readiness","https://proplogai.com/blogs/prop-firm-challenge-readiness","","0","8","0%","7.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-consistency-calculator","https://proplogai.com/blogs/prop-firm-consistency-calculator","prop firm consistency rule","0","69","0%","64.9","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-expense-tracking-guide","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","","0","15","0%","16.7","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-pnl-calendar","https://proplogai.com/blogs/prop-firm-pnl-calendar","","0","9","0%","23.8","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-risk-management","https://proplogai.com/blogs/prop-firm-risk-management","","0","1","0%","10.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-roi-calculator","https://proplogai.com/blogs/prop-firm-roi-calculator","","0","6","0%","12.7","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-trading-journal","https://proplogai.com/blogs/prop-firm-trading-journal","prop firm trading journal","0","7","0%","45.9","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-prop-firm-trading-rulebook","https://proplogai.com/blogs/prop-firm-trading-rulebook","","0","5","0%","8.2","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-revenge-trading-prop-firm","https://proplogai.com/blogs/revenge-trading-prop-firm","","0","1","0%","3.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-tracking-trading-emotions","https://proplogai.com/blogs/tracking-trading-emotions","","0","4","0%","28.5","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-trading-discipline-prop-firm","https://proplogai.com/blogs/trading-discipline-prop-firm","","0","8","0%","63.8","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-trading-emotions-account-killer","https://proplogai.com/blogs/trading-emotions-account-killer","","0","1","0%","10.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-trading-journal-benefits","https://proplogai.com/blogs/trading-journal-benefits","","0","7","0%","50.1","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-trading-journal-fields","https://proplogai.com/blogs/trading-journal-fields","","0","12","0%","39.3","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-trading-psychology-prop-firm","https://proplogai.com/blogs/trading-psychology-prop-firm","","0","1","0%","47.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-blog-weekly-trading-review-template","https://proplogai.com/blogs/weekly-trading-review-template","","0","3","0%","8.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-consistency-rule","https://proplogai.com/glossary/consistency-rule","","0","10","0%","79.2","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-daily-drawdown-limit","https://proplogai.com/glossary/daily-drawdown-limit","","0","1","0%","81.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-drawdown","https://proplogai.com/glossary/drawdown","what is drawdown in prop firm","0","34","0%","78.5","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-overall-drawdown-limit","https://proplogai.com/glossary/overall-drawdown-limit","","0","1","0%","2.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-overtrading","https://proplogai.com/glossary/overtrading","overtrading","0","70","0%","81.8","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-profit-factor","https://proplogai.com/glossary/profit-factor","","0","2","0%","85.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-rule-based-trading","https://proplogai.com/glossary/rule-based-trading","","0","1","0%","9.0","2026-07-06/2026-09-17","2026-09-20"
"proplogai-live-glossary-sharpe-ratio","https://proplogai.com/glossary/sharpe-ratio","","0","2","0%","66.5","2026-07-06/2026-09-17","2026-09-20"
