url,content_type,title,category,primary_intent,primary_topic,content_role,status,http_result,canonical_result,last_checked,evidence_basis,audit_priority,notes
https://proplogai.com/blogs,blog_index,Blog | PropLogAI Blog,Mixed,discovery,Mixed,index,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=1; words~951; schema=none; sources=0; blog_links=24; glossary_links=0; date=missing; brand_typo=Propol AI
https://proplogai.com/blogs/monthly-trading-review-template,blog,Monthly Trading Review Template for Prop Firm Traders | PropLogAI Blog,Trading Journaling,educational guide,monthly trading review template,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1584; schema=none; sources=0; blog_links=9; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/weekly-trading-review-template,blog,Weekly Trading Review Template for Forex Traders | PropLogAI Blog,Trading Journaling,educational guide,weekly trading review template,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1647; schema=none; sources=0; blog_links=8; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-challenge-readiness,blog,How to Know If You Are Ready for a Prop Firm Challenge | PropLogAI Blog,General Forex Education,educational guide,prop firm challenge readiness,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1605; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/forex-trading-for-beginners,blog,Forex Trading for Beginners: What to Learn Before Taking a Prop Firm Challenge | PropLogAI Blog,General Forex Education,educational guide,forex trading for beginners,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1740; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-risk-management,blog,What Is Risk Management in Forex Trading? | PropLogAI Blog,General Forex Education,educational guide,prop firm risk management,pillar candidate,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1802; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/ai-journal-pattern-detection,blog,How an AI Trading Coach Finds Patterns in Your Journal Data | PropLogAI Blog,AI Trading Coaching,educational guide,ai journal pattern detection,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1716; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
https://proplogai.com/blogs/ai-trading-discipline,blog,How to Use AI to Improve Trading Discipline Without Taking Trading Advice | PropLogAI Blog,AI Trading Coaching,educational guide,ai trading discipline,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1687; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
https://proplogai.com/blogs/daily-drawdown-calculator,blog,Daily Drawdown Calculator for Prop Firm Traders | PropLogAI Blog,Tools and Calculators,educational guide,daily drawdown calculator,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1660; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-consistency-calculator,blog,Prop Firm Consistency Calculator: How to Know If You Can Request Payout | PropLogAI Blog,Tools and Calculators,educational guide,prop firm consistency calculator,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1860; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/ai-trading-coach-prop-firm,blog,AI Trading Coach for Prop Firm Traders: What It Should and Should Not Do | PropLogAI Blog,AI Trading Coaching,educational guide,ai trading coach prop firm,pillar candidate,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1720; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-roi-calculator,blog,"Prop Firm ROI Calculator: Fees, Payouts, and Failed Challenges | PropLogAI Blog",Prop Firm Expenses and ROI,educational guide,prop firm roi calculator,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1792; schema=none; sources=0; blog_links=4; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/overtrading-prop-firm-challenges,blog,"Overtrading in Prop Firm Challenges: Causes, Signs, and Fixes | PropLogAI Blog",Trading Discipline,educational guide,overtrading prop firm challenges,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1880; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-pnl-calendar,blog,P&L Calendar for Traders: Spot Revenge Days and Losing Streaks | PropLogAI Blog,Trading Journaling,educational guide,prop firm pnl calendar,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1605; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/prop-firm-trading-rulebook,blog,How to Create a Trading Rulebook You Actually Follow | PropLogAI Blog,Trading Discipline,educational guide,prop firm trading rulebook,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1903; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
https://proplogai.com/blogs/revenge-trading-prop-firm,blog,Revenge Trading in Prop Firm Challenges: How to Stop the Cycle | PropLogAI Blog,Trading Psychology,educational guide,revenge trading prop firm,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1852; schema=none; sources=0; blog_links=5; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/tracking-trading-emotions,blog,How to Track Trading Emotions Without Turning Your Journal Into a Diary | PropLogAI Blog,Trading Psychology,educational guide,tracking trading emotions,cluster support,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1783; schema=none; sources=0; blog_links=6; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
https://proplogai.com/blogs/trading-discipline-prop-firm,blog,Trading Discipline for Prop Firm Traders: A Practical System | PropLogAI Blog,Trading Discipline,educational guide,trading discipline prop firm,pillar candidate,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1590; schema=none; sources=0; blog_links=7; glossary_links=0; date=missing; brand_spacing=PropLog AI
https://proplogai.com/blogs/trading-psychology-prop-firm,blog,Trading Psychology for Prop Firm Traders: Why Your Mind Breaks the Rules | PropLogAI Blog,Trading Psychology,educational guide,trading psychology prop firm,pillar candidate,live,200,self canonical,2026-09-19,live HTTP and sitemap audit; intent role is editorial hypothesis,P1,h1=2; words~1630; schema=none; sources=0; blog_links=8; glossary_links=0; date=missing; brand_typo=Propol AI; brand_spacing=PropLog AI
