"opportunity_id","priority","action","content_type","proposed_url","category","topic_cluster","primary_keyword","supporting_keywords","search_intent","evidence_source","target_market","market_tier","market_rationale","monthly_volume","seo_difficulty","cpc_usd","gsc_signal","canonical_owner_or_overlap","required_internal_links","source_risk","status","reason"
"G1-001","P1","Update","Glossary","https://proplogai.com/glossary/overtrading","Discipline","Trading Discipline and Rulebooks","overtrading","what is overtrading | overtrading meaning | overtrading definition","Definition","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","19 visible India impressions across overtrading query variants; glossary page has 19 India impressions","Canonical definition owner","Discipline pillar | overtrading application guide","Low","Recommended for brief","Strengthen the definition and route readers to the practical workflow"
"G1-002","P1","Update","Blog","https://proplogai.com/blogs/prop-firm-consistency-calculator","Prop Firm Rules","Prop Firm Rules and Readiness","prop firm consistency calculator","consistency rule calculator | calculate consistency rule | trading consistency calculator","Informational utility","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","3 visible India query impressions; calculator page has 2 India impressions","Calculator-guide owner","Consistency-rule glossary | live calculator | readiness pillar","High","Recommended for brief","Clarify formula assumptions and separate guide intent from utility intent"
"G1-003","P1","Update","Glossary","https://proplogai.com/glossary/drawdown","Risk Management","Risk and Drawdown","drawdown in prop firm","what is drawdown in prop firm | trading drawdown | drawdown limit","Definition","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","1 visible India impression for drawdown limit and the drawdown glossary page","Canonical definition owner","Risk pillar | daily drawdown glossary | overall drawdown glossary | calculator guide","Medium","Recommended for brief","Own the definition and connect the drawdown learning path"
"G1-004","P1","Update","Blog","https://proplogai.com/blogs/prop-firm-expense-tracking-guide","Costs and Payouts","Prop Firm Costs, Payouts, and ROI","prop firm expense tracking","prop firm fees | challenge cost tracking | prop firm expense records","Informational","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","","Current cost-record pillar","ROI calculator | funded-account definition","Medium","Reassess after India evidence","Closest striking-distance page in the current evidence set"
"G1-005","P1","Update and consolidate","Blog","https://proplogai.com/blogs/prop-firm-trading-journal","Journaling","Trading Journaling and Reviews","prop firm trading journal","trading journal for funded accounts | trading journal fields | trading journal workflow","Informational","GSC India","India / English","Primary","PropLogAI's primary audience is India.","","","","2 India impressions for prop firm trading journal currently land on the funded-account article","Preferred journal pillar","Trading-journal glossary | fields guide | funded-account workflow","Low","Recommended for brief","Strengthen the pillar and absorb only overlapping broad benefits material"
"G1-006","P1","Consolidate","Blog","https://proplogai.com/blogs/trading-journal-benefits","Journaling","Trading Journaling and Reviews","trading journal benefits","why keep a trading journal | benefits of trade journaling","Informational","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","","Overlaps the journal pillar","Journal pillar","Low","Needs human decision","Preserve the URL until a redirect and content migration are approved"
"G1-007","P1","Create","Blog","https://proplogai.com/blogs/trading-journal-template","Journaling","Trading Journaling and Reviews","trading journal template","trading journal template excel | trading journal excel free download india | trading journal template google sheets | trading journal examples","Informational template","Current search review India","India / English","Primary","PropLogAI's primary audience is India.","480","20","0","","New intent; avoid duplicating journal-fields page","Journal pillar | trading-journal glossary | fields guide","Low","Release ready","Revision 5 approved by Vicky on 2026-09-24 with USD/$ standard and exact review hash; awaiting separate release action"
"G1-008","P1","Create","Blog","https://proplogai.com/blogs/prop-firm-rules-guide","Prop Firm Rules","Prop Firm Rules and Readiness","prop firm rules","prop firm challenge rules | how to read prop firm rules | funded account rules","Commercial informational","Current search review India","India / English","Primary","PropLogAI's primary audience is India.","40","15","0","","New pillar; readiness page remains checklist support","Challenge glossary | funded-account glossary | drawdown terms | consistency rule","High","Recommended after source plan","Low difficulty and strong commercial relevance but rules require current first-party evidence"
"G1-009","P2","Create","Blog","https://proplogai.com/blogs/trading-performance-metrics","Performance Analytics","Trading Performance Metrics","trading performance metrics","how to analyse trading performance | trading journal metrics | performance report metrics","Informational","Editorial hypothesis","India / English","Primary","PropLogAI's primary audience is India.","","","","","Planned performance pillar","Profit factor | expectancy | win rate | equity curve | performance report","Medium","Recommended for brief","Fills the missing pillar connecting six glossary definitions"
"G1-010","P2","Create","Blog","https://proplogai.com/blogs/trading-expectancy-calculator","Performance Analytics","Trading Performance Metrics","trading expectancy calculator","expectancy formula | calculate trading expectancy | average win average loss","Informational utility","Current search review India","India / English","Primary","PropLogAI's primary audience is India.","30","13","0","","New utility intent; glossary keeps definition","Expectancy glossary | average-win-vs-loss glossary | performance pillar","Medium","Recommended after formula specification","Low-difficulty utility opportunity with deterministic calculation requirement"
