claim_id,status,feature,approved_wording,source_url,source_type,owner,checked_on,review_by,prohibited_or_outdated_wording,notes
PLAI-001,Approved,AI coach,"PropLogAI analyzes patterns in a trader's own journal data and does not provide signals or tell the trader what to trade.",https://proplogai.com/,First-party product page,Product owner,2026-09-24,2026-10-24,"AI predicts trades; AI guarantees improvement; trading signals","Rechecked on the live homepage with Firecrawl on 2026-09-24. Recheck whenever the product flow or positioning changes."
PLAI-002,Approved,Trade journal,"Traders can manually log trade details, notes, emotions, rule adherence, and screenshots.",https://proplogai.com/,First-party product page,Product owner,2026-09-24,2026-10-24,"Automatic broker import; live broker sync","Rechecked on the live homepage with Firecrawl on 2026-09-24. Homepage says logging is manual and broker credentials are not required."
PLAI-003,Approved,Performance dashboard,"The dashboard displays metrics including win rate, profit factor, average R, and an equity curve from logged data.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-10-19,"Institutional analytics; guaranteed edge discovery","Describe only visible metrics."
PLAI-004,Approved,P&L calendar,"PropLogAI provides a calendar view of logged profit and loss.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-10-19,"Broker-verified P&L","Values depend on user-entered data."
PLAI-005,Approved,Discipline tracking,"Traders can tag emotions and record whether they followed their own rules.",https://proplogai.com/,First-party product page,Product owner,2026-09-24,2026-10-24,"Diagnoses mental-health conditions; prevents rule breaks","Rechecked on the live homepage with Firecrawl on 2026-09-24. Frame as journaling and reflection."
PLAI-006,Approved,Expense and payout tracking,"PropLogAI can record trading expenses and payouts and display return-on-investment information from those entries.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-10-19,"Audited accounting; tax reporting","User-entered records are not financial statements."
PLAI-007,Approved,Public profile,"Traders can create a public profile and share selected achievements.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-10-19,"Verified performance profile","Do not imply independent verification."
PLAI-008,Approved,Basic plan,"The current Basic plan is free and includes unlimited trade logging, one screenshot per trade, three custom setups, five trophy uploads, three AI analyses per month, and one AI coach review per month.",https://proplogai.com/pricing,First-party pricing page,Product owner,2026-09-19,2026-10-19,"Free forever; limits that differ from the current pricing page","Price and limits require monthly review."
PLAI-009,Approved,Elite plan,"The current Elite plan is listed at $9.99 monthly or $7.99 per month when billed yearly, with a 14-day trial.",https://proplogai.com/pricing,First-party pricing page,Product owner,2026-09-19,2026-10-19,"Permanent price; guaranteed discount","Always include the checked date when price is material."
PLAI-010,Approved,Elite usage limits,"The current Elite plan lists 100 AI analyses and four AI coach reviews per month, up to 10 screenshots per trade, and unlimited custom setups and trophy uploads.",https://proplogai.com/pricing,First-party pricing page,Product owner,2026-09-19,2026-10-19,"Unlimited AI analyses; unlimited coach reviews","Limits require monthly review."
PLAI-011,Approved,Elite exports and reports,"The current Elite plan lists CSV export, share cards, and email coach reports.",https://proplogai.com/pricing,First-party pricing page,Product owner,2026-09-19,2026-10-19,"Automated tax exports; broker statements","Confirm the feature is visible before making a workflow claim."
PLAI-012,Needs Fact Check,Beta access,"The pricing page currently states that beta users receive Elite access at no charge.",https://proplogai.com/pricing,First-party pricing page,Product owner,2026-09-19,2026-09-26,"All users get Elite free; lifetime Elite access","Dynamic promotion: product-owner approval required for every use."
PLAI-013,Needs Fact Check,Telegram integration,"Telegram integration is listed as coming soon and must not be described as available.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-09-26,"Telegram integration is live","Recheck before any mention."
PLAI-014,Needs Fact Check,Cross-user intelligence,"Cross-user intelligence is listed as coming soon and must not be described as available.",https://proplogai.com/,First-party product page,Product owner,2026-09-19,2026-09-26,"PropLogAI benchmarks users against all traders","Privacy and product-owner review required before future approval."
PLAI-015,Prohibited,Challenge failure statistic,"No approved wording.",https://proplogai.com/,First-party page containing unsupported marketing copy,Product owner,2026-09-19,2026-09-19,"85% of prop challenges fail for the same reason","Do not reuse until a current traceable source and methodology are approved."
PLAI-016,Prohibited,Rule-break statistic,"No approved wording.",https://proplogai.com/,First-party page containing unsupported marketing copy,Product owner,2026-09-19,2026-09-19,"67% of blown challenges are rule breaks","Do not reuse until a current traceable source and methodology are approved."
PLAI-017,Prohibited,Revenge-day cost,"No approved wording.",https://proplogai.com/,First-party page containing unsupported marketing copy,Product owner,2026-09-19,2026-09-19,"-$340 average cost per revenge day","Do not reuse until the population, period, sample, and calculation are documented."
PLAI-018,Prohibited,Behavior multiplier,"No approved wording.",https://proplogai.com/,First-party page containing unsupported marketing copy,Product owner,2026-09-19,2026-09-19,"3.2x behavior or performance multiplier","Do not reuse without a defined measure and reproducible evidence."
